case,accuracy,recall,precision,f1,mcc
UNBALANCED,0.7184,0.9278,0.7436,0.8243,0.1731
BAL-AUG,0.694,0.6359,0.7299,0.6704,0.3967
DD-AUG,0.7181,0.6241,0.7816,0.6843,0.4537
TD-AUG,0.7369,0.6466,0.7949,0.7096,0.4858
QD-AUG,0.7298,0.6373,0.7906,0.7014,0.4726
