case,accuracy,recall,precision,f1,mcc
UNBALANCED,0.6787,0.4062,0.461,0.4181,0.2096
BAL-AUG,0.7964,0.8371,0.7732,0.7978,0.6044
DD-AUG,0.9139,0.9361,0.8969,0.9148,0.831
TD-AUG,0.953,0.9589,0.9481,0.9524,0.9079
QD-AUG,0.9633,0.9705,0.9571,0.9634,0.9272
QD-AUG,0.9633,0.9705,0.9571,0.9634,0.9272
