case,accuracy,recall,precision,f1,mcc
UNBALANCED,0.6493,0.7852,0.7393,0.7589,0.1028
BAL-AUG,0.7506,0.6189,0.8472,0.7061,0.525
DD-AUG,0.8813,0.8241,0.9338,0.8729,0.7707
TD-AUG,0.9241,0.8933,0.9538,0.9213,0.8518
QD-AUG,0.95,0.9265,0.9728,0.9486,0.9018
