case,accuracy,recall,precision,f1,mcc
UNBALANCED,0.6357,0.7517,0.7394,0.7442,0.1075
BAL-AUG,0.7373,0.687,0.7849,0.722,0.4876
DD-AUG,0.8554,0.8265,0.8833,0.8521,0.7151
TD-AUG,0.8908,0.8804,0.9031,0.8904,0.7837
QD-AUG,0.9142,0.9157,0.9182,0.9154,0.8313
